"","Date","rides"
"336",2001-12-02,416599
"337",2001-12-03,1047241
"338",2001-12-04,1046755
"339",2001-12-05,1035945
"340",2001-12-06,1015744
"341",2001-12-07,1017965
"342",2001-12-08,617951
"343",2001-12-09,406133
"344",2001-12-10,999552
"345",2001-12-11,1003459
"346",2001-12-12,975570
"347",2001-12-13,984448
"348",2001-12-14,977077
"349",2001-12-15,620743
"350",2001-12-16,404945
"351",2001-12-17,990781
"352",2001-12-18,1009241
"353",2001-12-19,953574
"354",2001-12-20,982991
"355",2001-12-21,990209
"356",2001-12-22,584051
"357",2001-12-23,392302
"358",2001-12-24,524076
"359",2001-12-25,218185
"360",2001-12-26,617191
"361",2001-12-27,687256
"362",2001-12-28,736133
"363",2001-12-29,470854
"364",2001-12-30,306024
"365",2001-12-31,648345
"366",2002-01-01,292295
"367",2002-01-02,763636
"368",2002-01-03,834105
"369",2002-01-04,855023
"370",2002-01-05,538926
"371",2002-01-06,368324
"372",2002-01-07,949923
"373",2002-01-08,968042
"374",2002-01-09,979944
"375",2002-01-10,969634
"376",2002-01-11,1002379
"377",2002-01-12,564277
"378",2002-01-13,370000
"379",2002-01-14,980845
"380",2002-01-15,978742
"381",2002-01-16,950996
"382",2002-01-17,963726
"383",2002-01-18,963659
"384",2002-01-19,552409
"385",2002-01-20,372287
"386",2002-01-21,646127
"387",2002-01-22,1006341
"388",2002-01-23,985561
"389",2002-01-24,1002479
"390",2002-01-25,1023370
"391",2002-01-26,608641
"392",2002-01-27,406967
"393",2002-01-28,1003642
"394",2002-01-29,973898
"395",2002-01-30,931241
"396",2002-01-31,876246
"397",2002-02-01,951276
"398",2002-02-02,611925
"399",2002-02-03,400144
"400",2002-02-04,982663
"401",2002-02-05,991881
"402",2002-02-06,1005812
"403",2002-02-07,1008601
"404",2002-02-08,1022917
"405",2002-02-09,646636
"406",2002-02-10,376294
"407",2002-02-11,978834
"408",2002-02-12,808863
"409",2002-02-13,1011799
"410",2002-02-14,1008391
"411",2002-02-15,1003157
"412",2002-02-16,613310
"413",2002-02-17,420759
"414",2002-02-18,755716
"415",2002-02-19,981396
"416",2002-02-20,981537
"417",2002-02-21,972630
"418",2002-02-22,1012399
"419",2002-02-23,626680
"420",2002-02-24,419758
"421",2002-02-25,974264
"422",2002-02-26,929519
"423",2002-02-27,932163
"424",2002-02-28,937890
"425",2002-03-01,968784
"426",2002-03-02,509029
"427",2002-03-03,330017
"428",2002-03-04,724264
"429",2002-03-05,973494
"430",2002-03-06,1003566
"431",2002-03-07,1005214
"432",2002-03-08,990556
"433",2002-03-09,490575
"434",2002-03-10,360619
"435",2002-03-11,1004112
"436",2002-03-12,1016975
"437",2002-03-13,1016082
"438",2002-03-14,1005725
"439",2002-03-15,1002982
"440",2002-03-16,612861
"441",2002-03-17,386638
"442",2002-03-18,986774
"443",2002-03-19,986868
"444",2002-03-20,988611
"445",2002-03-21,925927
"446",2002-03-22,956987
"447",2002-03-23,615480
"448",2002-03-24,368852
"449",2002-03-25,892306
"450",2002-03-26,935050
"451",2002-03-27,985189
"452",2002-03-28,959509
"453",2002-03-29,752332
"454",2002-03-30,612219
"455",2002-03-31,376038
"456",2002-04-01,968196
"457",2002-04-02,964290
"458",2002-04-03,1002068
"459",2002-04-04,987728
"460",2002-04-05,1006539
"461",2002-04-06,636783
"462",2002-04-07,351273
"463",2002-04-08,932887
"464",2002-04-09,1008482
"465",2002-04-10,1017196
"466",2002-04-11,1029541
"467",2002-04-12,912564
"468",2002-04-13,629714
"469",2002-04-14,436804
"470",2002-04-15,923483
"471",2002-04-16,895462
"472",2002-04-17,888506
"473",2002-04-18,890698
"474",2002-04-19,901015
"475",2002-04-20,571348
"476",2002-04-21,355009
"477",2002-04-22,969618
"478",2002-04-23,1017058
"479",2002-04-24,914170
"480",2002-04-25,996355
"481",2002-04-26,1021208
"482",2002-04-27,510904
"483",2002-04-28,363626
"484",2002-04-29,998372
"485",2002-04-30,995908
"486",2002-05-01,1025601
"487",2002-05-02,970602
"488",2002-05-03,1067368
"489",2002-05-04,658642
"490",2002-05-05,440799
"491",2002-05-06,987044
"492",2002-05-07,1001054
"493",2002-05-08,962125
"494",2002-05-09,1001826
"495",2002-05-10,1038529
"496",2002-05-11,490995
"497",2002-05-12,356439
"498",2002-05-13,971941
"499",2002-05-14,1003447
"500",2002-05-15,1009471
"501",2002-05-16,899840
"502",2002-05-17,981020
"503",2002-05-18,632351
"504",2002-05-19,415454
"505",2002-05-20,988903
"506",2002-05-21,1004722
"507",2002-05-22,994003
"508",2002-05-23,961753
"509",2002-05-24,990256
"510",2002-05-25,556405
"511",2002-05-26,434257
"512",2002-05-27,392672
"513",2002-05-28,954922
"514",2002-05-29,975607
"515",2002-05-30,984034
"516",2002-05-31,1030865
"517",2002-06-01,663355
"518",2002-06-02,420373
"519",2002-06-03,996867
"520",2002-06-04,911972
"521",2002-06-05,1000392
"522",2002-06-06,1018352
"523",2002-06-07,1027346
"524",2002-06-08,647563
"525",2002-06-09,443767
"526",2002-06-10,941583
"527",2002-06-11,965362
"528",2002-06-12,981375
"529",2002-06-13,962867
"530",2002-06-14,973293
"531",2002-06-15,643006
"532",2002-06-16,451393
"533",2002-06-17,974701
"534",2002-06-18,991600
"535",2002-06-19,988433
"536",2002-06-20,970114
"537",2002-06-21,972362
"538",2002-06-22,630270
"539",2002-06-23,441582
"540",2002-06-24,881412
"541",2002-06-25,923151
"542",2002-06-26,875261
"543",2002-06-27,908879
"544",2002-06-28,931675
"545",2002-06-29,632675
"546",2002-06-30,436656
"547",2002-07-01,944605
"548",2002-07-02,951048
"549",2002-07-03,999186
